// USER CHART SHEET exported by JRC ECDIS.
// <<NOTE>>This strings // indicate comment column/cells. You can edit freely.
// - NGAs,,IN USE
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

19,11.518,S,146,52.068,E
19,10.098,S,146,52.669,E
19,10.117,S,146,52.701,E
19,10.226,S,146,52.698,E
19,11.559,S,146,52.145,E
19,14.727,S,146,50.286,E
19,14.728,S,146,50.214,E
19,14.732,S,146,50.207,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,10.237,S,146,52.629,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,10.408,S,146,52.558,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,10.574,S,146,52.492,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,10.758,S,146,52.414,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,10.998,S,146,52.322,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,11.278,S,146,52.194,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,11.470,S,146,52.115,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,11.728,S,146,51.954,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,12.005,S,146,51.789,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,12.219,S,146,51.648,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,12.476,S,146,51.472,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,12.758,S,146,51.290,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,13.093,S,146,51.092,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,13.424,S,146,50.872,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,13.755,S,146,50.655,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,14.005,S,146,50.498,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,14.245,S,146,50.388,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,14.433,S,146,50.379,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,14.545,S,146,50.175,E,0,20,
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

19,15.016,S,146,49.746,E
19,15.017,S,146,49.810,E
19,15.018,S,146,49.836,E
19,15.008,S,146,49.841,E
19,15.013,S,146,49.860,E
19,14.994,S,146,49.866,E
19,14.963,S,146,49.871,E
19,14.883,S,146,49.867,E
19,14.800,S,146,49.901,E
19,14.617,S,146,50.021,E
19,14.532,S,146,50.063,E
19,11.750,S,146,51.861,E
19,11.232,S,146,52.127,E
19,11.197,S,146,52.148,E
19,11.116,S,146,52.182,E
19,10.561,S,146,52.413,E
19,10.208,S,146,52.559,E
19,10.165,S,146,52.567,E
19,10.142,S,146,52.580,E
19,10.016,S,146,52.626,E
19,10.010,S,146,52.620,E
19,10.016,S,146,52.609,E
19,10.131,S,146,52.541,E
19,10.214,S,146,52.471,E
19,12.175,S,146,51.451,E
19,14.974,S,146,49.730,E
19,15.014,S,146,49.744,E
19,15.016,S,146,49.746,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,10.219,S,146,52.479,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,10.463,S,146,52.393,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,10.649,S,146,52.326,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,10.856,S,146,52.237,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,11.086,S,146,52.135,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,11.330,S,146,52.017,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,11.588,S,146,51.870,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,11.835,S,146,51.755,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,12.059,S,146,51.606,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,12.294,S,146,51.460,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,12.509,S,146,51.332,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,12.759,S,146,51.133,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,13.051,S,146,50.967,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,13.293,S,146,50.810,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,13.549,S,146,50.645,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,13.851,S,146,50.463,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,14.153,S,146,50.271,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,14.400,S,146,50.108,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,14.621,S,146,49.975,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,14.954,S,146,49.818,E,0,20,
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

19,15.108,S,146,49.827,E
19,15.118,S,146,49.868,E
19,15.127,S,146,49.876,E
19,15.154,S,146,49.891,E
19,15.166,S,146,49.886,E
19,15.145,S,146,49.844,E
19,15.124,S,146,49.852,E
19,15.115,S,146,49.823,E
19,15.106,S,146,49.826,E
19,15.108,S,146,49.827,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

19,15.135,S,146,49.858,E,0,20,
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

27,18.593,S,153,12.494,E
27,18.407,S,153,12.603,E
27,18.347,S,153,12.603,E
27,18.365,S,153,12.278,E
27,22.050,S,153,09.674,E
27,22.679,S,153,09.608,E
27,22.775,S,153,09.531,E
27,22.891,S,153,09.317,E
27,23.222,S,153,08.955,E
27,23.554,S,153,09.263,E
27,23.545,S,153,09.458,E
27,23.471,S,153,09.494,E
27,23.461,S,153,09.465,E
27,23.477,S,153,09.415,E
27,23.449,S,153,09.326,E
27,23.160,S,153,09.242,E
27,23.106,S,153,09.243,E
27,22.941,S,153,09.319,E
27,22.882,S,153,09.379,E
27,22.770,S,153,09.592,E
27,19.212,S,153,12.075,E
27,18.602,S,153,12.498,E
27,18.585,S,153,12.499,E
27,18.593,S,153,12.494,E
END
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

27,18.782,S,153,12.882,E
27,18.531,S,153,12.756,E
27,18.556,S,153,12.731,E
27,18.592,S,153,12.680,E
27,18.606,S,153,12.630,E
27,18.625,S,153,12.607,E
27,19.267,S,153,12.164,E
27,21.176,S,153,10.831,E
27,21.397,S,153,10.887,E
27,21.420,S,153,10.874,E
27,21.429,S,153,10.886,E
27,18.782,S,153,12.880,E
27,18.782,S,153,12.882,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

27,18.453,S,153,12.483,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

27,18.704,S,153,12.606,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

27,18.805,S,153,12.215,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

27,18.981,S,153,12.402,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

27,19.125,S,153,12.045,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

27,19.264,S,153,12.215,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

27,19.327,S,153,11.878,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

27,19.572,S,153,12.005,E,0,20,
// TEXT
